term,meaning,example,type,source
gyat,"Variant of gyatt; an exclamation of surprise or admiration, often about someone's body or appearance.","Gyat, they really showed up like that.",slang,manual_additions.csv
sigma,"A person presented as independent, self-reliant, confident, or socially dominant; sometimes used ironically to mean cool or impressive.",Bro thinks he's sigma.,slang,manual_additions.csv
brainrot,"Low-quality, absurd, or extremely online content; also the mental state of being overly affected by consuming too much such content.",My feed is all brainrot now.,slang,manual_additions.csv
aura,"A person's perceived coolness, presence, confidence, or social energy.",He gained aura after that comeback.,slang,manual_additions.csv
aura farming,"Acting in a way intended to appear cool, mysterious, or impressive to gain social presence or status.",He is aura farming by standing silently in the corner.,slang,manual_additions.csv
fanum tax,"Taking or stealing some of someone's food, usually jokingly.",He took my fries and called it fanum tax.,slang,manual_additions.csv
mewing,Positioning the tongue or jaw to make the jawline look sharper; often used in appearance-related memes.,He won't answer because he's mewing.,slang,manual_additions.csv
looksmaxxing,Trying to improve one's physical appearance as much as possible.,He's looksmaxxing before summer.,slang,manual_additions.csv
mog,"Verb: to look better than or outshine someone, especially in appearance or status.",She mogged everyone in the photo.,slang,manual_additions.csv
mogging,"Noun/verb form of mog; outshining others, especially by looking better or seeming more impressive.",The group photo was just him mogging everyone.,slang,manual_additions.csv
ohio,"Something weird, cursed, chaotic, or absurd; often used ironically.",That was the most Ohio interaction ever.,slang,manual_additions.csv
crash out,"Verb phrase: to lose emotional control, overreact, or have a breakdown, often publicly or dramatically.",He crashed out over one comment.,slang,manual_additions.csv
crashing out,"Verb phrase: losing emotional control, overreacting, or having a breakdown.",She is crashing out in the replies.,slang,manual_additions.csv
crashed out,Adjective/verb phrase: having lost emotional control or overreacted dramatically.,He was fully crashed out after the argument.,slang,manual_additions.csv
lock in,"Verb phrase: to focus seriously, commit, or concentrate on a task.",I need to lock in before the exam.,slang,manual_additions.csv
locked in,"Adjective/verb phrase: focused, committed, or performing with concentration.",She's locked in right now.,slang,manual_additions.csv
6-7,"A mostly nonsensical numerical meme phrase used for humor or group belonging, often without a stable literal meaning.",He just yelled 6-7 for no reason.,slang,manual_additions.csv
six seven,Written-out form of 6-7; a mostly nonsensical meme phrase used humorously.,Everyone kept saying six seven in the comments.,slang,manual_additions.csv
unc,"Short for uncle; used for an older man or someone acting old, outdated, or out of touch.",Unc does not know how TikTok works.,slang,manual_additions.csv
chopped,"Unattractive, bad-looking, messy, or ruined, depending on context.",That haircut is chopped.,slang,manual_additions.csv
cooked,"In trouble, doomed, exhausted, defeated, or in a bad situation; can also mean someone performed very badly.",Bro is cooked after that mistake.,slang,manual_additions.csv
clanker,"A derogatory or joking insult for a robot or AI, often used in memes about machines or artificial intelligence.",Don't trust the clanker with my homework.,slang,manual_additions.csv
clock that tea,"A phrase meaning to notice, recognize, or point out gossip, truth, or revealing information.","Clock that tea, she knew the whole time.",slang,manual_additions.csv
ratioed,"Received far more negative replies, disagreement, or opposing engagement than support, especially on social media.",He got ratioed after that take.,slang,manual_additions.csv
touch grass,"A phrase telling someone to go outside, stop being too online, calm down, or reconnect with real life.",You need to touch grass if you're arguing about this all day.,slang,manual_additions.csv
let him cook,"Let him continue or give him a chance, because he may produce something good or prove his point.","Wait, let him cook, this might make sense.",slang,manual_additions.csv
let her cook,"Let her continue or give her a chance, because she may produce something good or prove her point.","Let her cook, she is making a good argument.",slang,manual_additions.csv
left no crumbs,"Performed very well or completed something impressively, leaving nothing to criticize.",She left no crumbs with that presentation.,slang,manual_additions.csv
serve,"Verb/noun: to look good, perform stylishly, or deliver an impressive look, attitude, or performance.",That outfit is a serve.,slang,manual_additions.csv
serving,"Verb/adjective: looking good, giving a particular vibe, or performing stylishly.",She's serving main character energy.,slang,manual_additions.csv
it's giving,"A phrase meaning something gives the impression, vibe, or feeling of a particular quality.",It's giving rich aunt energy.,slang,manual_additions.csv
giving,"Giving the impression, vibe, or feeling of something; often used before a noun phrase.",This room is giving hospital waiting area.,slang,manual_additions.csv
frfr,"For real, for real; used to strongly agree or emphasize honesty.","That was the best episode, frfr.",slang,manual_additions.csv
idk,I don't know.,Idk what happened.,slang,manual_additions.csv
ikr,"I know, right; used to agree strongly.","Ikr, that was so awkward.",slang,manual_additions.csv
rn,Right now.,I can't talk rn.,slang,manual_additions.csv
tf,"The fuck; used to express confusion, shock, anger, or emphasis.",Tf is going on?,slang,manual_additions.csv
wtf,"What the fuck; used to express confusion, shock, anger, or disbelief.",Wtf did I just watch?,slang,manual_additions.csv
ong,On God; used to strongly affirm that something is true or serious.,"Ong, I did not say that.",slang,manual_additions.csv
istg,"I swear to God; used to emphasize seriousness, frustration, or honesty.","Istg, if this crashes again.",slang,manual_additions.csv
pookie,"A cute or affectionate nickname for someone liked, loved, or jokingly addressed.","Thanks, pookie.",slang,manual_additions.csv
glazing,"Overpraising or excessively complimenting someone, often in a way seen as embarrassing or too loyal.","Stop glazing him, he made one good shot.",slang,manual_additions.csv
glaze,"Verb/noun: to overpraise someone, or excessive praise itself.",You're glazing that player too much.,slang,manual_additions.csv
glazer,"A person who excessively praises, flatters, defends, or supports someone.",He's such a glazer for that team.,slang,manual_additions.csv
yapping,"Talking too much, often about something unimportant or annoying.",He's been yapping for ten minutes.,slang,manual_additions.csv
yap,"Verb/noun: to talk too much, or excessive talk.","Enough yap, get to the point.",slang,manual_additions.csv
yapper,A person who talks too much.,That streamer is a professional yapper.,slang,manual_additions.csv
side eye,"A skeptical, judgmental, or suspicious look or reaction.",She gave him side eye after that comment.,slang,manual_additions.csv
bombastic side eye,"An exaggerated skeptical, judgmental, or disapproving reaction.",Bombastic side eye after that excuse.,slang,manual_additions.csv
pick me,"A person who seeks validation by trying to seem different from or better than others, often for attention.",That comment was giving pick me.,slang,manual_additions.csv
red flag,"A warning sign of bad behavior, risk, or a problematic trait.",Cancelling last minute every time is a red flag.,slang,manual_additions.csv
green flag,"A positive sign of good behavior, safety, or a desirable trait.",Being kind to staff is a green flag.,slang,manual_additions.csv
bffr,"Be for real; used to tell someone to stop being unrealistic, dishonest, or ridiculous.","Bffr, you know that is not true.",slang,manual_additions.csv
be so for real,"A phrase telling someone to be serious, realistic, or honest.","Be so for real, that was not an accident.",slang,manual_additions.csv
canon event,"An event seen as inevitable, formative, or necessary in someone's life story, often jokingly.",Getting humbled in college is a canon event.,slang,manual_additions.csv
girl dinner,"A casual, snack-like, low-effort meal, often assembled from small foods rather than a full cooked meal.","Cheese, crackers, and olives is girl dinner.",slang,manual_additions.csv
girl math,"Humorous or irrational reasoning used to justify spending, saving, or decision-making.",Returning something means the next purchase is free: girl math.,slang,manual_additions.csv
boy math,Humorous or irrational reasoning associated with male behavior or decision-making.,Calling it an investment after buying another console is boy math.,slang,manual_additions.csv
soft launch,"Subtly revealing a relationship, project, or change without fully announcing it.",She soft launched her boyfriend with a hand photo.,slang,manual_additions.csv
hard launch,"Clearly and publicly announcing a relationship, project, or change.",They hard launched their relationship on Instagram.,slang,manual_additions.csv
mother,"A person, usually a woman or feminine-presenting figure, admired for confidence, style, talent, or iconic behavior.",She is mother for that performance.,slang,manual_additions.csv
mothered,"Performed impressively, stylishly, or iconically; acted like 'mother'.",She mothered the whole stage.,slang,manual_additions.csv
goblin mode,"A state of being messy, lazy, self-indulgent, or socially unpolished, often humorously accepted.",I went full goblin mode this weekend.,slang,manual_additions.csv
bed rotting,"Spending a long time lying in bed doing little, often scrolling or resting, sometimes as self-care or avoidance.",I spent Sunday bed rotting.,slang,manual_additions.csv
doomscrolling,Continuously scrolling through negative or distressing online content.,I was doomscrolling news all night.,slang,manual_additions.csv
deinfluencing,Discouraging people from buying overhyped products or encouraging more critical consumption.,That creator is deinfluencing viral skincare.,slang,manual_additions.csv
main character energy,"The vibe of acting or appearing like the central person in a story, usually confident or dramatic.",Walking in the rain with headphones is main character energy.,slang,manual_additions.csv
vibey,"Having a pleasant, stylish, or distinctive atmosphere or feeling.",This café is so vibey.,slang,manual_additions.csv
fit,Short for outfit; the clothes someone is wearing.,Your fit is clean today.,slang,manual_additions.csv
opp,"Short for opposition or opponent; an enemy, rival, or person someone dislikes.","Don't invite him, he's an opp.",slang,manual_additions.csv
ops,"Variant/plural of opp; enemies, rivals, or opposition.",The ops are watching.,slang,manual_additions.csv
🗿,"Used to express a deadpan, awkward, stoic, or absurd reaction; often a dry ""bruh""-style response.",Bro really said that 🗿,emoji,manual_additions.csv
✨,"Used to add emphasis, irony, aesthetic tone, or playful positivity around a word or phrase.",Just ✨ vibes ✨,emoji,manual_additions.csv
🥺,"Used to express pleading, cuteness, sadness, vulnerability, or wanting sympathy.",Please send the notes 🥺,emoji,manual_additions.csv
🫡,"Used to show respect, acknowledgment, agreement, or joking obedience.",I will handle it 🫡,emoji,manual_additions.csv
🥴,"Used to express awkwardness, embarrassment, discomfort, intoxication, confusion, or chaotic attraction.",That text was kind of wild 🥴,emoji,manual_additions.csv
😮‍💨,"Used to express relief, exhaustion, stress, or that something is impressive or attractive.",That comeback was clean 😮‍💨,emoji,manual_additions.csv
🫠,"Used to express embarrassment, stress, awkwardness, overwhelm, or emotionally melting down.",I forgot the deadline 🫠,emoji,manual_additions.csv
🤌,"Used to show perfection, excellence, emphasis, or a dramatic Italian-style gesture.",This playlist is perfect 🤌,emoji,manual_additions.csv
🗣️,"Used to emphasize that someone is speaking loudly, making a strong point, or saying something important.",Say it louder 🗣️,emoji,manual_additions.csv
📈,"Used to show improvement, increasing value, progress, or something becoming better.",His aura after that play 📈,emoji,manual_additions.csv
📉,"Used to show decline, failure, worsening, or something becoming worse.",My motivation after lunch 📉,emoji,manual_additions.csv
🫶,"Used to express love, support, appreciation, warmth, or affection.",Thanks for helping 🫶,emoji,manual_additions.csv
chud,"An insulting term for a stupid, unpleasant, reactionary, or socially disliked person.",Don't listen to that chud.,slang,manual_additions.csv
normie,A mainstream or ordinary person who is not part of a specific internet subculture.,Normies won't understand this meme.,slang,manual_additions.csv
stacy,"An idealized attractive, popular woman; often used in incel/manosphere contexts.",They describe her as a stacy in that forum.,slang,manual_additions.csv
becky,An ordinary or average woman; often used in incel/manosphere contexts as a contrast to stacy.,The post compares stacys and beckys.,slang,manual_additions.csv
blackpill,"A nihilistic belief, especially in incel spaces, that social or romantic failure is fixed and hopeless.",That comment is full of blackpill thinking.,slang,manual_additions.csv
blackpilled,Influenced by a nihilistic belief that things are hopeless or predetermined.,He sounds blackpilled about dating.,slang,manual_additions.csv
redpill,A supposed awakening to hidden social or gender dynamics; often associated with manosphere ideology.,He keeps posting redpill content.,slang,manual_additions.csv
redpilled,Influenced by redpill ideology or claiming to see hidden social truths.,The video has a redpilled tone.,slang,manual_additions.csv
foid,"A dehumanizing misogynistic term for a woman, used in some incel communities.",The forum used foid as an insult.,slang,manual_additions.csv
femoid,"A dehumanizing misogynistic term for a woman, used in some incel communities.",The comment uses femoid in a hostile way.,slang,manual_additions.csv
soy boy,"An insult for a man perceived as weak, unmasculine, or overly progressive.",They called him a soy boy for liking that movie.,slang,manual_additions.csv
wagecuck,An insulting term for someone viewed as trapped in ordinary wage work.,He called office workers wagecucks.,slang,manual_additions.csv
gooner,A person obsessively engaged with sexualized online content or compulsive internet behavior; often used insultingly.,The replies are full of gooner comments.,slang,manual_additions.csv
gooning,Obsessively engaging with sexualized online content or zoning out in compulsive internet behavior.,He joked that he was gooning all weekend.,slang,manual_additions.csv
coomer,An insulting meme term for someone seen as overly obsessed with sexual content.,That comment sounds like a coomer take.,slang,manual_additions.csv
doomer,A pessimistic person who believes things are getting worse or hopeless.,The thread is full of doomer energy.,slang,manual_additions.csv
bloomer,"A person with a hopeful, positive, self-improving attitude; opposite of doomer.",He's become a bloomer lately.,slang,manual_additions.csv
npc behavior,"Unoriginal, automatic, or socially scripted behavior.",That is pure npc behavior.,slang,manual_additions.csv
bot behavior,"Behavior that seems fake, repetitive, or unthinking.",These replies are bot behavior.,slang,manual_additions.csv
terminally online,Overly shaped by internet culture and disconnected from offline norms.,That take is terminally online.,slang,manual_additions.csv
chronically online,Overly immersed in internet discourse or online culture.,This is a chronically online argument.,slang,manual_additions.csv
ragebait,Content designed to make people angry and attract engagement.,That post is obvious ragebait.,slang,manual_additions.csv
engagement bait,"Content designed mainly to get likes, comments, shares, or arguments.",This question is engagement bait.,slang,manual_additions.csv
clout chasing,"Trying to gain attention, popularity, or social status online.",He's just clout chasing.,slang,manual_additions.csv
clout chaser,"Someone who tries to gain attention, popularity, or social status online.",She's acting like a clout chaser.,slang,manual_additions.csv
grifter,"A person who dishonestly exploits a trend, ideology, or audience for money or attention.",That influencer is a grifter.,slang,manual_additions.csv
rage farm,To repeatedly produce anger-inducing content for engagement.,That account rage farms every day.,slang,manual_additions.csv
rage quit,To angrily stop playing or participating after frustration.,He rage quit after losing again.,slang,manual_additions.csv
massive L,"A major loss, failure, or embarrassing outcome.",That reply was a massive L.,slang,manual_additions.csv
common W,A predictable or typical success by someone who often does well.,Common W from her.,slang,manual_additions.csv
rare W,An unexpected success from someone or something usually criticized.,Rare W from that app.,slang,manual_additions.csv
ratio bait,A post designed to provoke disagreement and get ratioed.,This is ratio bait.,slang,manual_additions.csv
copium,Irrational comfort or denial used to cope with a bad situation.,That's pure copium.,slang,manual_additions.csv
hopium,Unrealistic hope or optimism about a bad situation improving.,The fans are running on hopium.,slang,manual_additions.csv
seethe,"To be visibly angry or bitter, often while pretending not to be.",They're seething in the replies.,slang,manual_additions.csv
malding,"Being extremely angry, often in a childish or embarrassing way.",He is malding over the game.,slang,manual_additions.csv
meatriding,"Excessively praising, defending, or supporting someone.",Stop meatriding that celebrity.,slang,manual_additions.csv
d riding,"Excessively praising, defending, or supporting someone.",The comments are all d riding him.,slang,manual_additions.csv
tuff,"Very good, impressive, cool, stylish, or admirable; internet spelling variant of 'tough' used as praise.",That edit is tuff.,slang,manual_additions.csv
tough,"Very good, impressive, cool, stylish, or admirable when used as internet slang; standard spelling of 'tuff'.",That fit is tough.,slang,manual_additions.csv
ass,"Very bad, poor quality, unpleasant, boring, or disappointing when used as an adjective in phrases like 'this is so ass'.",This movie is so ass.,slang,manual_additions.csv
fye,"Very good, excellent, impressive, exciting, or cool; spelling variant of 'fire' used as praise.",This song is fye.,slang,manual_additions.csv
ts,"Context-dependent abbreviation meaning either 'this' or 'this shit', often used to refer to the current situation, thing, or statement.",ts is so funny bro.,slang,manual_additions.csv
bc,Abbreviation for 'because'.,I left early bc I was tired.,slang,manual_additions.csv
bs,"Abbreviation for 'bullshit', meaning nonsense, lies, unfairness, or something bad/unreasonable.",That excuse is bs.,slang,manual_additions.csv
sm,"Abbreviation for 'so much', used for emphasis.",I love this sm.,slang,manual_additions.csv
lwk,"Abbreviation for 'lowkey', meaning secretly, subtly, somewhat, quietly, or to a moderate degree.",This is lwk good.,slang,manual_additions.csv
🥀,"A wilted rose emoji used to express sadness, heartbreak, disappointment, emotional pain, or dramatic despair.",I miss them so much 🥀,emoji,manual_additions.csv
uno reverse card,"A meme phrase meaning that an action, insult, blame, or situation is turned back onto the person who started it.","He tried to roast me, but I pulled an uno reverse card.",slang,manual_additions.csv
dihh,"Censored or altered spelling of 'dick', usually referring to a penis or used as a crude insult depending on context.",He keeps making dihh jokes.,slang,manual_additions.csv
puhh,"Censored or altered spelling of 'pussy', usually referring to female genitalia or used as a crude insult depending on context.",The comment used puhh as a censored word.,slang,manual_additions.csv
pdf,"Censored or altered spelling of 'pedophile', used to avoid moderation filters or direct wording.",People in the comments were calling him a pdf.,slang,manual_additions.csv
pdf file,"Censored or altered phrase for 'pedophile', often used online to avoid moderation filters or direct wording.",That creator got accused of being a pdf file.,slang,manual_additions.csv
era,"A period or phase in someone's life, behavior, style, interests, or personality; often used in phrases like 'in my X era' to describe what someone is currently focused on or becoming.",I'm in my healing era.,slang,manual_additions.csv
4k,"Caught with clear evidence, exposed, or undeniably proven to have done something; from phrases like 'caught in 4k' or '4k 60fps'.",He said he wasn't there but got caught in 4k.,slang,manual_additions.csv
caught in 4k,"Caught with clear evidence, exposed, or undeniably proven to have done something.",She deleted the post after getting caught in 4k.,slang,manual_additions.csv
4k 60fps,A joking phrase meaning someone was caught or exposed with extremely clear evidence.,Bro got exposed in 4k 60fps.,slang,manual_additions.csv
atp,"Abbreviation for 'at this point', meaning by now or given the current situation.",Atp I don't even care anymore.,slang,manual_additions.csv
diddy,"A slang reference used online to imply someone is creepy, predatory, sexually inappropriate, or associated with pedophile/grooming accusations; often used as an insult or accusation rather than a literal name.",The comments were calling him diddy after that weird clip.,slang,manual_additions.csv
mf,"Abbreviation for 'motherfucker'; used as a crude insult, an intensifier, or a casual reference to a person depending on context.",That mf really did it.,slang,manual_additions.csv
oml,"Abbreviation for 'on my life', used to emphasize that someone is serious, honest, or strongly means what they are saying.",Oml this is the funniest thing I've seen today.,slang,manual_additions.csv
larper,"Someone pretending to be something they are not, especially online; originally from LARP, meaning live-action role-player.",He talks like a hacker but he's just a larper.,slang,manual_additions.csv
larp,"To pretend to be something one is not, especially online; also a fake or performative identity, role, ideology, or lifestyle.",That whole alpha male persona is a larp.,slang,manual_additions.csv
larping,"Pretending to be something one is not, especially online; acting out a fake identity, role, ideology, or lifestyle.",He's larping as a finance bro on TikTok.,slang,manual_additions.csv
twin,"A friendly term of address similar to 'bro', 'friend', or someone very similar to oneself.",You're right twin.,slang,manual_additions.csv
frying,Making someone laugh very hard; being extremely funny.,This video is frying me.,slang,manual_additions.csv
real,"True, relatable, accurate, or expressing agreement; similar to 'facts'.","Real, I was thinking the same thing.",slang,manual_additions.csv
troll,"Someone who intentionally provokes, annoys, jokes, or posts insincerely online to get a reaction.","Don't reply, he's just a troll.",slang,manual_additions.csv
trolling,"Intentionally provoking, annoying, joking, or posting insincerely online to get a reaction.",He's trolling in the comments.,slang,manual_additions.csv
wallahi,"Arabic-origin expression meaning 'I swear to God'; used online to emphasize sincerity, surprise, or seriousness.",Wallahi I'm not lying.,slang,manual_additions.csv
smooth,"Cool, skillful, stylish, impressive, or done effortlessly.",That transition was smooth.,slang,manual_additions.csv
tripping,"Acting weird, overreacting, being mistaken, confused, or unreasonable.",You're tripping if you think that's okay.,slang,manual_additions.csv
buggin,"Acting weird, overreacting, being mistaken, confused, or unreasonable; similar to 'tripping'.",He's buggin if he believes that.,slang,manual_additions.csv
bugging,"Acting weird, overreacting, being mistaken, confused, or unreasonable; similar to 'tripping'.",You're bugging right now.,slang,manual_additions.csv
holy,"Used before a word to intensify it, meaning extremely, impressively, absurdly, or surprisingly good/strong/noticeable.","Holy larp, this guy is committed.",slang,manual_additions.csv
slop,"Low-quality, lazy, repetitive, mass-produced, or mindless content, especially online media.",This whole feed is AI slop.,slang,manual_additions.csv
gg,"Abbreviation for 'good game'; used to show sportsmanship, acknowledge the end of something, or jokingly mean something is over.","GG, we lost that one.",slang,manual_additions.csv
wp,"Abbreviation for 'well played'; used to praise a good move, response, or performance.","WP, that comeback was perfect.",slang,manual_additions.csv
brah,"Variant of 'bro' or 'bruh', used to address someone casually or express reaction.","Brah, that was insane.",slang,manual_additions.csv
bruv,"British-style variant of 'bro', used to address someone casually or express disbelief.","Bruv, no way that happened.",slang,manual_additions.csv
og,"Original, long-standing, authentic, respected, or one of the first of its kind.",He's an og in this community.,slang,manual_additions.csv
f in the chat,"A phrase used to express sympathy, respect, mourning, or joking acknowledgement of a loss or failure.","He failed the exam, f in the chat.",slang,manual_additions.csv
glow down,"A negative transformation or decline in appearance, style, confidence, quality, or situation.",That redesign was a glow down.,slang,manual_additions.csv
lil,"Short for 'little'; can mean small, young, minor, cute, or be used dismissively/offensively depending on context.",That lil comment was unnecessary.,slang,manual_additions.csv
js,Abbreviation for 'just'.,I'm js saying it was weird.,slang,manual_additions.csv
ahh,"Altered spelling of 'ass' used as an intensifier after adjectives, usually for comedic emphasis.",That is a big ahh sandwich.,slang,manual_additions.csv
sent me,Made me laugh very hard.,The way he said that sent me.,slang,manual_additions.csv
dawg,"Casual term of address similar to 'bro', 'dude', or 'friend'.","Dawg, what are you doing?",slang,manual_additions.csv
btw,Abbreviation for 'by the way'.,"Btw, that edit was fire.",slang,manual_additions.csv
peak,"Very good, excellent, high quality, or the best version of something.",This episode is peak.,slang,manual_additions.csv
lfg,"Abbreviation for 'let's fucking go', used to express excitement, hype, celebration, or motivation.","We finally won, lfg.",slang,manual_additions.csv
backrooms,"A creepy, endless, liminal-space-like place or atmosphere; from the Backrooms internet horror concept.",This empty hallway looks like the backrooms.,slang,manual_additions.csv
imho,Abbreviation for 'in my humble opinion' or 'in my honest opinion'.,"Imho, that take is wrong.",slang,manual_additions.csv
face card,"A person's facial attractiveness or visual appeal, often used in phrases like 'face card accepted' or 'face card denied'.",Her face card never declines.,slang,manual_additions.csv
face card accepted,A phrase meaning someone's face is attractive or visually appealing.,"Face card accepted, she looks amazing.",slang,manual_additions.csv
face card denied,"A phrase meaning someone's face is judged as unattractive or not visually appealing, often insultingly.",The comments were saying face card denied.,slang,manual_additions.csv
psl,"A looks-focused rating scale or framework used in looksmaxxing communities to judge physical attractiveness, usually facial attractiveness.",They rated him a 6 on the psl scale.,slang,manual_additions.csv
straight up,"Honestly, directly, seriously, or without exaggeration; used to emphasize that something is true or sincere.","Straight up, this is the best one.",slang,manual_additions.csv
dap up,"To greet or congratulate someone with a handshake, fist bump, high five, or similar friendly hand gesture.",He dapped me up after the game.,slang,manual_additions.csv
gymcel,"A person, often jokingly or insultingly described, who is heavily focused on the gym, fitness, or bodybuilding, sometimes with incel-like or looksmaxxing associations.",The comments called him a gymcel after he posted his routine.,slang,manual_additions.csv
incel,"Short for 'involuntary celibate'; a person who identifies with or is associated with online communities centered on romantic/sexual frustration, often linked to misogynistic ideology.",That forum has a lot of incel language.,slang,manual_additions.csv
femcel,"Short for 'female incel'; a woman who identifies with or is associated with online communities centered on romantic/sexual frustration, isolation, or resentment.",The post was discussing femcel content.,slang,manual_additions.csv
w,"Abbreviation for 'with', usually followed by a noun, pronoun, or phrase.",I went w him.,slang,manual_additions.csv
x-pill,"A pattern meaning a belief, worldview, or realization about a specific topic; often used in online ideology, self-improvement, looksmaxxing, or doom-focused communities.",He took the agepill after seeing that video.,slang,manual_additions.csv
x-pilled,"Influenced by, convinced by, or mentally affected by a belief or worldview about a specific topic.",He's gympilled now and only talks about lifting.,slang,manual_additions.csv
pill,"A belief, realization, or worldview that someone adopts, often after being exposed to online discourse.",That video gave him a new pill about dating.,slang,manual_additions.csv
pilled,"Influenced by or convinced of a particular belief, worldview, or online ideology.",He's completely pilled on that topic.,slang,manual_additions.csv
agepill,"A belief or realization focused on age, ageing, youth, attractiveness, life timing, or age-related decline, often in a pessimistic or looks-focused way.",That post is pure agepill content.,slang,manual_additions.csv
agepilled,"Influenced by agepill ideas; worried or convinced about age-related decline, timing, or attractiveness.",He's agepilled after turning 25.,slang,manual_additions.csv
gympill,"A belief or realization that going to the gym, building muscle, or improving fitness is the solution to one's problems or status.",He took the gympill and started lifting every day.,slang,manual_additions.csv
gympilled,"Strongly influenced by gympill ideas; focused on fitness, lifting, or gym-based self-improvement.",He's fully gympilled now.,slang,manual_additions.csv
heightpill,"A belief or realization focused on height as a major factor in attractiveness, status, or dating success.",The comments turned into heightpill discourse.,slang,manual_additions.csv
heightpilled,Influenced by heightpill ideas; overly focused on height as a source of advantage or disadvantage.,He's heightpilled from reading those forums.,slang,manual_additions.csv
facepill,A belief or realization focused on facial attractiveness as a major factor in social or dating outcomes.,That thread is all facepill and rating people.,slang,manual_additions.csv
facepilled,Influenced by facepill ideas; overly focused on facial attractiveness and appearance-based outcomes.,He got facepilled by looksmaxxing content.,slang,manual_additions.csv
x-maxxing,"A pattern meaning intense self-improvement or optimization in a specific area, often associated with looksmaxxing communities; the X indicates what is being optimized.",He started heightmaxxing after watching those videos.,slang,manual_additions.csv
xmaxxing,"A spelling variant of x-maxxing; a pattern meaning intense self-improvement or optimization in a specific area, often associated with looksmaxxing communities.",The comments were full of people talking about moneymaxxing.,slang,manual_additions.csv
maxxing,"Intense self-improvement, optimization, or strategic effort to improve a specific trait, outcome, or lifestyle area.","He's maxxing everything now: gym, skincare, money, and style.",slang,manual_additions.csv
heightmaxxing,"Trying to improve, compensate for, or focus intensely on height as part of attractiveness or status optimization.",The thread turned into heightmaxxing advice.,slang,manual_additions.csv
facemaxxing,"Trying to improve facial attractiveness through grooming, skincare, fitness, surgery, or other appearance-focused methods.",He's posting facemaxxing tips now.,slang,manual_additions.csv
gymmaxxing,"Trying to improve one's body, attractiveness, confidence, or status through gym training and fitness.",He's gymmaxxing for the summer.,slang,manual_additions.csv
moneymaxxing,"Trying to improve income, wealth, financial status, or perceived value through money-focused self-improvement.",He's moneymaxxing instead of dating.,slang,manual_additions.csv
bread,"Money, cash, income, or financial resources.",He's just trying to get his bread up.,slang,manual_additions.csv
tryna,"Informal contraction of 'trying to', meaning attempting to, wanting to, or planning to do something.",I'm tryna leave early.,slang,manual_additions.csv
